,subjID,experimentName,versionName,sequenceName,url,selected_row,windowWidth,windowHeight,screenWidth,screenHeight,startDate,startTime,trial,stimulus_0,stimulus_1,duration,actual_depth_0,actual_depth_1,discrim_choice,trial_RT,log_fixation,log_sceneDuration1,log_mask1,log_sceneDuration2,log_mask2,experimentTime,totalTime,age,gender
10,100756,DepthScenes,v2_duration_discrimination,discrim_jsons/Discrim1000_randls_29.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_discrimination_MTurk/v2_DepthDiscrim_HTML.html#328,328,1366,768,1366,768,9-24-2022,7-26-3,11,depth_discrimination_stimuli/002549_2014-06-24_13-41-39_094959634447_rgbf000022-resize_3/002549_2014-06-24_13-41-39_094959634447_rgbf000022-resize_3-target.png,depth_discrimination_stimuli/002750_2014-06-22_19-08-03_094959634447_rgbf000094-resize_4/002750_2014-06-22_19-08-03_094959634447_rgbf000094-resize_4-target.png,1000.0,1.476,2.354,0.0,2656,1015,1000,986,1007,492,,1227985,42,Man
11,100756,DepthScenes,v2_duration_discrimination,discrim_jsons/Discrim1000_randls_29.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_discrimination_MTurk/v2_DepthDiscrim_HTML.html#328,328,1366,768,1366,768,9-24-2022,7-26-3,12,depth_discrimination_stimuli/001175_2014-06-17_15-45-55_260595134347_rgbf000129-resize_4/001175_2014-06-17_15-45-55_260595134347_rgbf000129-resize_4-target.png,depth_discrimination_stimuli/003490_2014-05-21_15-50-11_094959634447_rgbf000101-resize_3/003490_2014-05-21_15-50-11_094959634447_rgbf000101-resize_3-target.png,1000.0,4.255,3.6445,0.0,5252,1014,1000,999,1002,485,,1227985,42,Man
12,100756,DepthScenes,v2_duration_discrimination,discrim_jsons/Discrim1000_randls_29.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_discrimination_MTurk/v2_DepthDiscrim_HTML.html#328,328,1366,768,1366,768,9-24-2022,7-26-3,13,depth_discrimination_stimuli/001164_2014-06-17_15-35-46_260595134347_rgbf000085-resize_3/001164_2014-06-17_15-35-46_260595134347_rgbf000085-resize_3-target.png,depth_discrimination_stimuli/001136_2014-06-17_15-19-41_260595134347_rgbf000076-resize_3/001136_2014-06-17_15-19-41_260595134347_rgbf000076-resize_3-target.png,1000.0,2.354,1.8655,0.0,4361,1013,996,1000,997,500,,1227985,42,Man
13,100756,DepthScenes,v2_duration_discrimination,discrim_jsons/Discrim1000_randls_29.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_discrimination_MTurk/v2_DepthDiscrim_HTML.html#328,328,1366,768,1366,768,9-24-2022,7-26-3,14,depth_discrimination_stimuli/002213_2014-06-28_18-37-58_260595134347_rgbf000055-resize_1/002213_2014-06-28_18-37-58_260595134347_rgbf000055-resize_1-target.png,depth_discrimination_stimuli/000691_2014-06-08_13-08-50_260595134347_rgbf000132-resize_3/000691_2014-06-08_13-08-50_260595134347_rgbf000132-resize_3-target.png,1000.0,3.62,4.1530000000000005,0.0,2484,1015,998,1002,999,499,,1227985,42,Man
14,100756,DepthScenes,v2_duration_discrimination,discrim_jsons/Discrim1000_randls_29.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_discrimination_MTurk/v2_DepthDiscrim_HTML.html#328,328,1366,768,1366,768,9-24-2022,7-26-3,15,depth_discrimination_stimuli/000692_2014-06-08_13-09-42_260595134347_rgbf000199-resize_2/000692_2014-06-08_13-09-42_260595134347_rgbf000199-resize_2-target.png,depth_discrimination_stimuli/001094_2014-06-15_17-36-00_260595134347_rgbf000205-resize_0/001094_2014-06-15_17-36-00_260595134347_rgbf000205-resize_0-target.png,1000.0,3.661,4.2175,0.0,2098,1000,1014,1001,1000,498,,1227985,42,Man
15,100756,DepthScenes,v2_duration_discrimination,discrim_jsons/Discrim1000_randls_29.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_discrimination_MTurk/v2_DepthDiscrim_HTML.html#328,328,1366,768,1366,768,9-24-2022,7-26-3,16,depth_discrimination_stimuli/000375_2014-06-08_11-17-29_260595134347_rgbf000133-resize_2/000375_2014-06-08_11-17-29_260595134347_rgbf000133-resize_2-target.png,depth_discrimination_stimuli/000375_2014-06-08_11-17-29_260595134347_rgbf000133-resize_2/000375_2014-06-08_11-17-29_260595134347_rgbf000133-resize_2-target.png,1000.0,4.718,4.718,0.0,3749,1011,1001,1001,999,499,,1227985,42,Man
16,100756,DepthScenes,v2_duration_discrimination,discrim_jsons/Discrim1000_randls_29.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_discrimination_MTurk/v2_DepthDiscrim_HTML.html#328,328,1366,768,1366,768,9-24-2022,7-26-3,17,depth_discrimination_stimuli/002988_2014-06-15_12-24-20_094959634447_rgbf000150-resize_1/002988_2014-06-15_12-24-20_094959634447_rgbf000150-resize_1-target.png,depth_discrimination_stimuli/001052_2014-06-08_18-24-54_260595134347_rgbf000130-resize_1/001052_2014-06-08_18-24-54_260595134347_rgbf000130-resize_1-target.png,1000.0,4.7669999999999995,4.1045,0.0,7187,1015,985,1000,998,501,,1227985,42,Man
17,100756,DepthScenes,v2_duration_discrimination,discrim_jsons/Discrim1000_randls_29.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_discrimination_MTurk/v2_DepthDiscrim_HTML.html#328,328,1366,768,1366,768,9-24-2022,7-26-3,18,depth_discrimination_stimuli/002057_2014-06-24_21-00-13_260595134347_rgbf000120-resize_1/002057_2014-06-24_21-00-13_260595134347_rgbf000120-resize_1-target.png,depth_discrimination_stimuli/000709_2014-06-08_13-51-55_260595134347_rgbf000068-resize_3/000709_2014-06-08_13-51-55_260595134347_rgbf000068-resize_3-target.png,1000.0,2.967,1.8030000000000002,0.0,6373,1001,1013,986,1014,484,,1227985,42,Man
18,100756,DepthScenes,v2_duration_discrimination,discrim_jsons/Discrim1000_randls_29.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_discrimination_MTurk/v2_DepthDiscrim_HTML.html#328,328,1366,768,1366,768,9-24-2022,7-26-3,19,depth_discrimination_stimuli/001092_2014-06-15_17-34-58_260595134347_rgbf000171-resize_3/001092_2014-06-15_17-34-58_260595134347_rgbf000171-resize_3-target.png,depth_discrimination_stimuli/002545_2014-06-24_13-38-53_094959634447_rgbf000080-resize_4/002545_2014-06-24_13-38-53_094959634447_rgbf000080-resize_4-target.png,1000.0,2.6935,1.9205,0.0,9813,1001,1000,999,1002,500,,1227985,42,Man
19,100756,DepthScenes,v2_duration_discrimination,discrim_jsons/Discrim1000_randls_29.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_discrimination_MTurk/v2_DepthDiscrim_HTML.html#328,328,1366,768,1366,768,9-24-2022,7-26-3,20,depth_discrimination_stimuli/001055_2014-06-08_18-45-35_260595134347_rgbf000111-resize_4/001055_2014-06-08_18-45-35_260595134347_rgbf000111-resize_4-target.png,depth_discrimination_stimuli/000549_2014-06-08_22-10-24_260595134347_rgbf000247-resize_3/000549_2014-06-08_22-10-24_260595134347_rgbf000247-resize_3-target.png,1000.0,2.4290000000000003,1.841,0.0,3344,1002,1016,1000,997,500,,1227985,42,Man
20,100756,DepthScenes,v2_duration_discrimination,discrim_jsons/Discrim1000_randls_29.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_discrimination_MTurk/v2_DepthDiscrim_HTML.html#328,328,1366,768,1366,768,9-24-2022,7-26-3,21,depth_discrimination_stimuli/002570_2014-06-24_13-59-54_094959634447_rgbf000059-resize_0/002570_2014-06-24_13-59-54_094959634447_rgbf000059-resize_0-target.png,depth_discrimination_stimuli/002467_2014-06-28_20-38-07_260595134347_rgbf000026-resize_2/002467_2014-06-28_20-38-07_260595134347_rgbf000026-resize_2-target.png,1000.0,4.037,4.742,0.0,4014,1014,999,999,996,501,,1227985,42,Man
21,100756,DepthScenes,v2_duration_discrimination,discrim_jsons/Discrim1000_randls_29.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_discrimination_MTurk/v2_DepthDiscrim_HTML.html#328,328,1366,768,1366,768,9-24-2022,7-26-3,22,depth_discrimination_stimuli/000917_2014-06-09_22-45-29_260595134347_rgbf000149-resize_3/000917_2014-06-09_22-45-29_260595134347_rgbf000149-resize_3-target.png,depth_discrimination_stimuli/002323_2014-06-28_20-01-54_260595134347_rgbf000051-resize_4/002323_2014-06-28_20-01-54_260595134347_rgbf000051-resize_4-target.png,1000.0,4.1865,3.7310000000000003,0.0,4563,1001,999,1001,1013,500,,1227985,42,Man
