,subjID,experimentName,versionName,sequenceName,url,selected_row,windowWidth,windowHeight,screenWidth,screenHeight,startDate,startTime,trial,stimulus,duration,actual_depth,depth_estimate,trial_RT,log_sceneDuration,unitSelection,seq_filepath,experimentTime,totalTime,age,gender
0,756315,DepthScenes,duration_manipulation_targetAtFixation,jsons/v1_VE1000_randls_8_rotated.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#12,12,1024,768,1024,768,8-22-2022,4-59-54,1,depth_duration_stimuli/001447_2014-06-19_17-00-32_260595134347_rgbf000082-resize_5/001447_2014-06-19_17-00-32_260595134347_rgbf000082-resize_5-target.png,1000,4.13775,5,7189,999,meters,jsons/v1_VE1000_randls_8_rotated.json,1957668,2136439,30,Woman
1,756315,DepthScenes,duration_manipulation_targetAtFixation,jsons/v1_VE1000_randls_8_rotated.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#12,12,1024,768,1024,768,8-22-2022,4-59-54,2,depth_duration_stimuli/000447_2014-06-08_16-15-46_260595134347_rgbf000130-resize_1/000447_2014-06-08_16-15-46_260595134347_rgbf000130-resize_1-target.png,1000,4.479,5,5354,1000,meters,jsons/v1_VE1000_randls_8_rotated.json,1957668,2136439,30,Woman
2,756315,DepthScenes,duration_manipulation_targetAtFixation,jsons/v1_VE1000_randls_8_rotated.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#12,12,1024,768,1024,768,8-22-2022,4-59-54,3,depth_duration_stimuli/002136_2014-06-25_21-18-03_260595134347_rgbf000109-resize_3/002136_2014-06-25_21-18-03_260595134347_rgbf000109-resize_3-target.png,1000,1.9569999999999999,5,6275,999,meters,jsons/v1_VE1000_randls_8_rotated.json,1957668,2136439,30,Woman
3,756315,DepthScenes,duration_manipulation_targetAtFixation,jsons/v1_VE1000_randls_8_rotated.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#12,12,1024,768,1024,768,8-22-2022,4-59-54,4,depth_duration_stimuli/002964_2014-06-08_17-46-11_094959634447_rgbf000091-resize_4/002964_2014-06-08_17-46-11_094959634447_rgbf000091-resize_4-target.png,1000,1.6909999999999998,5,6505,996,meters,jsons/v1_VE1000_randls_8_rotated.json,1957668,2136439,30,Woman
4,756315,DepthScenes,duration_manipulation_targetAtFixation,jsons/v1_VE1000_randls_8_rotated.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#12,12,1024,768,1024,768,8-22-2022,4-59-54,5,depth_duration_stimuli/000109_2014-05-14_23-41-52_260595134347_rgbf000035-resize_9/000109_2014-05-14_23-41-52_260595134347_rgbf000035-resize_9-target.png,1000,1.3545,5,8682,1012,meters,jsons/v1_VE1000_randls_8_rotated.json,1957668,2136439,30,Woman
5,756315,DepthScenes,duration_manipulation_targetAtFixation,jsons/v1_VE1000_randls_8_rotated.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#12,12,1024,768,1024,768,8-22-2022,4-59-54,6,depth_duration_stimuli/000470_2014-06-09_19-42-40_260595134347_rgbf000094-resize_1/000470_2014-06-09_19-42-40_260595134347_rgbf000094-resize_1-target.png,1000,1.831,4,11154,999,meters,jsons/v1_VE1000_randls_8_rotated.json,1957668,2136439,30,Woman
6,756315,DepthScenes,duration_manipulation_targetAtFixation,jsons/v1_VE1000_randls_8_rotated.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#12,12,1024,768,1024,768,8-22-2022,4-59-54,7,depth_duration_stimuli/002657_2014-06-13_15-29-54_094959634447_rgbf000150-resize_1/002657_2014-06-13_15-29-54_094959634447_rgbf000150-resize_1-target.png,1000,4.919,5,10179,1000,meters,jsons/v1_VE1000_randls_8_rotated.json,1957668,2136439,30,Woman
7,756315,DepthScenes,duration_manipulation_targetAtFixation,jsons/v1_VE1000_randls_8_rotated.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#12,12,1024,768,1024,768,8-22-2022,4-59-54,8,depth_duration_stimuli/002375_2014-06-28_20-13-44_260595134347_rgbf000032-resize_1/002375_2014-06-28_20-13-44_260595134347_rgbf000032-resize_1-target.png,1000,4.0175,5,10331,911,meters,jsons/v1_VE1000_randls_8_rotated.json,1957668,2136439,30,Woman
8,756315,DepthScenes,duration_manipulation_targetAtFixation,jsons/v1_VE1000_randls_8_rotated.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#12,12,1024,768,1024,768,8-22-2022,4-59-54,9,depth_duration_stimuli/001617_2014-06-20_11-35-32_260595134347_rgbf000066-resize_1/001617_2014-06-20_11-35-32_260595134347_rgbf000066-resize_1-target.png,1000,3.7910000000000004,5,9339,998,meters,jsons/v1_VE1000_randls_8_rotated.json,1957668,2136439,30,Woman
9,756315,DepthScenes,duration_manipulation_targetAtFixation,jsons/v1_VE1000_randls_8_rotated.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#12,12,1024,768,1024,768,8-22-2022,4-59-54,10,depth_duration_stimuli/001806_2014-06-26_20-50-20_260595134347_rgbf000091-resize_1/001806_2014-06-26_20-50-20_260595134347_rgbf000091-resize_1-target.png,1000,2.7305,5,9843,916,meters,jsons/v1_VE1000_randls_8_rotated.json,1957668,2136439,30,Woman
