,subjID,experimentName,versionName,sequenceName,url,selected_row,windowWidth,windowHeight,screenWidth,screenHeight,startDate,startTime,trial,stimulus,duration,actual_depth,depth_estimate,trial_RT,log_sceneDuration,unitSelection,seq_filepath,experimentTime,totalTime,age,gender
0,337840,DepthScenes,duration_manipulation_targetAtFixation,jsons/VE125_randls_28_rotated.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#31,31,1364,625,1364,768,8-21-2022,10-7-32,1,depth_duration_stimuli/002136_2014-06-25_21-18-03_260595134347_rgbf000109-resize_3/002136_2014-06-25_21-18-03_260595134347_rgbf000109-resize_3-target.png,125,1.9569999999999999,6,8647,151,feet,jsons/VE125_randls_28_rotated.json,1126439,1293378,37,Woman
1,337840,DepthScenes,duration_manipulation_targetAtFixation,jsons/VE125_randls_28_rotated.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#31,31,1364,625,1364,768,8-21-2022,10-7-32,2,depth_duration_stimuli/002964_2014-06-08_17-46-11_094959634447_rgbf000091-resize_4/002964_2014-06-08_17-46-11_094959634447_rgbf000091-resize_4-target.png,125,1.6909999999999998,0,5037,124,feet,jsons/VE125_randls_28_rotated.json,1126439,1293378,37,Woman
2,337840,DepthScenes,duration_manipulation_targetAtFixation,jsons/VE125_randls_28_rotated.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#31,31,1364,625,1364,768,8-21-2022,10-7-32,3,depth_duration_stimuli/000866_2014-06-09_20-45-42_260595134347_rgbf000139-resize_1/000866_2014-06-09_20-45-42_260595134347_rgbf000139-resize_1-target.png,125,3.2155,6,5468,125,feet,jsons/VE125_randls_28_rotated.json,1126439,1293378,37,Woman
3,337840,DepthScenes,duration_manipulation_targetAtFixation,jsons/VE125_randls_28_rotated.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#31,31,1364,625,1364,768,8-21-2022,10-7-32,4,depth_duration_stimuli/002989_2014-06-15_12-25-03_094959634447_rgbf000150-resize_3/002989_2014-06-15_12-25-03_094959634447_rgbf000150-resize_3-target.png,125,4.1975,9,3526,110,feet,jsons/VE125_randls_28_rotated.json,1126439,1293378,37,Woman
4,337840,DepthScenes,duration_manipulation_targetAtFixation,jsons/VE125_randls_28_rotated.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#31,31,1364,625,1364,768,8-21-2022,10-7-32,5,depth_duration_stimuli/000409_2014-06-04_19-23-33_260595134347_rgbf000067-resize_0/000409_2014-06-04_19-23-33_260595134347_rgbf000067-resize_0-target.png,125,3.7335,3,4929,126,feet,jsons/VE125_randls_28_rotated.json,1126439,1293378,37,Woman
5,337840,DepthScenes,duration_manipulation_targetAtFixation,jsons/VE125_randls_28_rotated.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#31,31,1364,625,1364,768,8-21-2022,10-7-32,6,depth_duration_stimuli/002663_2014-06-13_15-50-26_094959634447_rgbf000075-resize_1/002663_2014-06-13_15-50-26_094959634447_rgbf000075-resize_1-target.png,125,4.7495,5,3703,150,feet,jsons/VE125_randls_28_rotated.json,1126439,1293378,37,Woman
6,337840,DepthScenes,duration_manipulation_targetAtFixation,jsons/VE125_randls_28_rotated.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#31,31,1364,625,1364,768,8-21-2022,10-7-32,7,depth_duration_stimuli/003495_2014-05-21_16-01-51_094959634447_rgbf000100-resize_3/003495_2014-05-21_16-01-51_094959634447_rgbf000100-resize_3-target.png,125,1.6255,5,8948,143,feet,jsons/VE125_randls_28_rotated.json,1126439,1293378,37,Woman
7,337840,DepthScenes,duration_manipulation_targetAtFixation,jsons/VE125_randls_28_rotated.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#31,31,1364,625,1364,768,8-21-2022,10-7-32,8,depth_duration_stimuli/001244_2014-06-17_16-47-45_260595134347_rgbf000030-resize_4/001244_2014-06-17_16-47-45_260595134347_rgbf000030-resize_4-target.png,125,2.0425,5,3869,126,feet,jsons/VE125_randls_28_rotated.json,1126439,1293378,37,Woman
8,337840,DepthScenes,duration_manipulation_targetAtFixation,jsons/VE125_randls_28_rotated.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#31,31,1364,625,1364,768,8-21-2022,10-7-32,9,depth_duration_stimuli/000854_2014-06-09_19-43-13_260595134347_rgbf000066-resize_0/000854_2014-06-09_19-43-13_260595134347_rgbf000066-resize_0-target.png,125,3.068,5,20511,98,feet,jsons/VE125_randls_28_rotated.json,1126439,1293378,37,Woman
9,337840,DepthScenes,duration_manipulation_targetAtFixation,jsons/VE125_randls_28_rotated.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#31,31,1364,625,1364,768,8-21-2022,10-7-32,10,depth_duration_stimuli/000758_2014-06-08_22-05-08_260595134347_rgbf000085-resize_0/000758_2014-06-08_22-05-08_260595134347_rgbf000085-resize_0-target.png,125,3.3810000000000002,6,4899,138,feet,jsons/VE125_randls_28_rotated.json,1126439,1293378,37,Woman
