,subjID,experimentName,versionName,sequenceName,url,selected_row,windowWidth,windowHeight,screenWidth,screenHeight,startDate,startTime,trial,stimulus,duration,actual_depth,depth_estimate,trial_RT,log_sceneDuration,unitSelection,seq_filepath,experimentTime,totalTime,age,gender
0,159726,DepthScenes,duration_manipulation_targetAtFixation,jsons/VE125_randls_3_rotated.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#32,32,919,886,1920,1080,8-21-2022,9-42-7,1,depth_duration_stimuli/000927_2014-06-09_16-32-30_260595134347_rgbf000123-resize_3/000927_2014-06-09_16-32-30_260595134347_rgbf000123-resize_3-target.png,125,2.6785,7,3429,125,feet,jsons/VE125_randls_3_rotated.json,412954,551084,39,Man
1,159726,DepthScenes,duration_manipulation_targetAtFixation,jsons/VE125_randls_3_rotated.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#32,32,919,886,1920,1080,8-21-2022,9-42-7,2,depth_duration_stimuli/001110_2014-06-15_17-25-28_260595134347_rgbf000150-resize_1/001110_2014-06-15_17-25-28_260595134347_rgbf000150-resize_1-target.png,125,1.7115,5,8327,124,feet,jsons/VE125_randls_3_rotated.json,412954,551084,39,Man
2,159726,DepthScenes,duration_manipulation_targetAtFixation,jsons/VE125_randls_3_rotated.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#32,32,919,886,1920,1080,8-21-2022,9-42-7,3,depth_duration_stimuli/001214_2014-06-17_16-13-55_260595134347_rgbf000111-resize_0/001214_2014-06-17_16-13-55_260595134347_rgbf000111-resize_0-target.png,125,2.6505,4,5183,125,feet,jsons/VE125_randls_3_rotated.json,412954,551084,39,Man
3,159726,DepthScenes,duration_manipulation_targetAtFixation,jsons/VE125_randls_3_rotated.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#32,32,919,886,1920,1080,8-21-2022,9-42-7,4,depth_duration_stimuli/000810_2014-06-08_17-20-01_260595134347_rgbf000105-resize_0/000810_2014-06-08_17-20-01_260595134347_rgbf000105-resize_0-target.png,125,1.4865,5,5074,126,feet,jsons/VE125_randls_3_rotated.json,412954,551084,39,Man
4,159726,DepthScenes,duration_manipulation_targetAtFixation,jsons/VE125_randls_3_rotated.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#32,32,919,886,1920,1080,8-21-2022,9-42-7,5,depth_duration_stimuli/001136_2014-06-17_15-19-41_260595134347_rgbf000076-resize_3/001136_2014-06-17_15-19-41_260595134347_rgbf000076-resize_3-target.png,125,1.8655,6,2397,112,feet,jsons/VE125_randls_3_rotated.json,412954,551084,39,Man
5,159726,DepthScenes,duration_manipulation_targetAtFixation,jsons/VE125_randls_3_rotated.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#32,32,919,886,1920,1080,8-21-2022,9-42-7,6,depth_duration_stimuli/001164_2014-06-17_15-35-46_260595134347_rgbf000085-resize_3/001164_2014-06-17_15-35-46_260595134347_rgbf000085-resize_3-target.png,125,2.354,7,1857,124,feet,jsons/VE125_randls_3_rotated.json,412954,551084,39,Man
6,159726,DepthScenes,duration_manipulation_targetAtFixation,jsons/VE125_randls_3_rotated.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#32,32,919,886,1920,1080,8-21-2022,9-42-7,7,depth_duration_stimuli/003338_2014-05-20_11-01-23_094959634447_rgbf000051-resize_6/003338_2014-05-20_11-01-23_094959634447_rgbf000051-resize_6-target.png,125,1.693,2,2367,125,feet,jsons/VE125_randls_3_rotated.json,412954,551084,39,Man
7,159726,DepthScenes,duration_manipulation_targetAtFixation,jsons/VE125_randls_3_rotated.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#32,32,919,886,1920,1080,8-21-2022,9-42-7,8,depth_duration_stimuli/002509_2014-06-24_13-19-22_094959634447_rgbf000077-resize_0/002509_2014-06-24_13-19-22_094959634447_rgbf000077-resize_0-target.png,125,1.3065,3,1403,124,feet,jsons/VE125_randls_3_rotated.json,412954,551084,39,Man
8,159726,DepthScenes,duration_manipulation_targetAtFixation,jsons/VE125_randls_3_rotated.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#32,32,919,886,1920,1080,8-21-2022,9-42-7,9,depth_duration_stimuli/000677_2014-06-08_23-10-32_260595134347_rgbf000158-resize_6/000677_2014-06-08_23-10-32_260595134347_rgbf000158-resize_6-target.png,125,3.556,4,2771,123,feet,jsons/VE125_randls_3_rotated.json,412954,551084,39,Man
9,159726,DepthScenes,duration_manipulation_targetAtFixation,jsons/VE125_randls_3_rotated.json,http://54.235.29.9/FacialAge/BNav_EC2/DepthDuration/v2_depth_duration_MTurk/v2_DepthDuration_HTML.html#32,32,919,886,1920,1080,8-21-2022,9-42-7,10,depth_duration_stimuli/001029_2014-06-08_13-17-57_260595134347_rgbf000065-resize_1/001029_2014-06-08_13-17-57_260595134347_rgbf000065-resize_1-target.png,125,3.0835,6,2288,124,feet,jsons/VE125_randls_3_rotated.json,412954,551084,39,Man
